# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1283
#@/user_id	945c0063-a64b-43b4-94e6-372738e7012b
a 	阿	c=1 d=1 t=829
hui bu hui 	会不会	c=1 d=0.554327 t=1283
hui huang 	辉煌	c=1 d=1 t=445
hui lai 	回来	c=0 d=0.0937067 t=1283
huo rong 	火绒	c=1 d=1 t=732
ji cheng 	集成	c=1 d=1 t=1042
ji de 	记得	c=1 d=0.856415 t=1283
ji ji 	寄寄	c=6 d=1.6611 t=1283
ji ji 	急急	c=1 d=0.990806 t=1283
ji ji bao zao 	急急暴躁	c=1 d=0.909373 t=1283
ji ji fan 	寄寄饭	c=1 d=1 t=412
ji ji la 	寄寄啦	c=4 d=0.436049 t=1283
ji le 	寄了	c=1 d=0.244143 t=1283
ji xu 	继续	c=1 d=1 t=945
ji yue 	几月	c=1 d=1 t=797
jia 	加	c=2 d=1.09255 t=956
jia su qiu 	加速球	c=6 d=5.5349 t=723
jian fei 	减肥	c=1 d=0.431711 t=1283
jian tou fa 	剪头发	c=1 d=1 t=834
jiang 	酱	c=1 d=1 t=1218
jiang yin zhen 	江阴镇	c=2 d=1.92774 t=1027
jiao 	叫	c=3 d=2.94128 t=901
jiao huang 	教皇	c=1 d=1 t=446
jie huo 	解惑	c=0 d=0.1 t=921
jin 	金	c=1 d=1 t=479
jin lai de 	进来的	c=1 d=1 t=617
jin tian 	今天	c=2 d=0.40657 t=1283
jin tian shi 	今天是	c=1 d=1 t=626
jing shang 	经商	c=1 d=1 t=1029
jing xiang 	镜像	c=6 d=4.82127 t=1198
jiu 	就	c=1 d=1 t=931
jiu hui 	就会	c=1 d=1 t=928
jiu lai le 	就来了	c=1 d=1 t=967
jiu shi 	就是	c=1 d=0.88692 t=1283
jiu xing 	就行	c=1 d=0.822835 t=1283
jiu zhe ge ba 	就这个吧	c=1 d=0.360595 t=1283
ju 	居	c=16 d=3.46489 t=1283
ju ju 	居居	c=1 d=1 t=1094
ju yang 	居羊	c=1 d=1 t=731
jun ge 	焌哥	c=3 d=1.82973 t=1169
ka pi ba la 	卡皮巴拉	c=1 d=1 t=845
kai chi 	开吃	c=1 d=0.173907 t=1283
kai chi fan fan 	开吃饭饭	c=1 d=0.159614 t=1283
kai mai 	开卖	c=1 d=0.574072 t=1283
kai shi 	开始	c=1 d=0.166127 t=1283
kai xin 	开心	c=1 d=1 t=970
kan 	看	c=1 d=0.847894 t=1283
kan dao de 	看到的	c=1 d=1 t=939
kan dao le 	看到了	c=1 d=0.865022 t=1283
kan de 	看的	c=1 d=0.657047 t=1283
kan fan 	看番	c=2 d=0.183599 t=1283
kan kan 	看看	c=4 d=1.91552 t=1283
ke neng 	可能	c=1 d=1 t=586
ke yi 	可以	c=5 d=1.50051 t=1283
ke yi he 	可以喝	c=0 d=0.1 t=813
ke yi ya 	可以呀	c=3 d=1.09824 t=1249
ke yi yong 	可以用	c=1 d=1 t=579
kong zhi mian ban 	控制面板	c=2 d=0.552582 t=1283
kuai jie jian 	快捷键	c=1 d=0.240508 t=1283
kun 	坤	c=1 d=1.09185 t=711
kuo hao 	括号	c=1 d=1 t=1264
la 	啦	c=7 d=3.61863 t=1283
la da 	拉大	c=0 d=0.1 t=811
la da chou 	拉大臭	c=1 d=1 t=812
la la la 	啦啦啦	c=1 d=0.292293 t=1283
la le 	拉了	c=1 d=0.170333 t=1283
lao gai fan 	劳改犯	c=1 d=1 t=991
lao gong 	牢公	c=8 d=2.98074 t=1283
lao ju 	牢居	c=1 d=0.161421 t=964
lao po 	牢婆	c=10 d=2.80561 t=1283
lao po 	老婆	c=1 d=0.247039 t=1283
lao po ai ai 	老婆爱爱	c=1 d=1 t=894
lao po kan 	老婆看	c=1 d=1 t=1007
le 	了	c=5 d=0.49686 t=1283
lei si 	勒死	c=1 d=1 t=1085
li gang cun 	梨港村	c=1 d=1 t=1028
li mian 	里面	c=1 d=1 t=1166
lian xiang 	联想	c=6 d=1.46637 t=1188
liang ge 	两个	c=1 d=1 t=599
lin 	林	c=6 d=0.923063 t=1283
ling 	灵	c=1 d=0.280832 t=1283
ling jie 	领结	c=1 d=0.358796 t=1283
long long 	龙龙	c=1 d=0.831104 t=1283
luan chi 	乱吃	c=0 d=0.0421052 t=1283
luan chi yang 	乱吃羊	c=1 d=0.423162 t=1283
ma 	吗	c=5 d=0.475567 t=1283
ma shang 	马上	c=1 d=1 t=966
mai 	买	c=1 d=0.771052 t=1283
mao 	猫	c=0 d=0.0245367 t=1283
mei 	没	c=1 d=0.50978 t=1283
mei guan xi de 	没关系的	c=1 d=0.759572 t=1283
mei kan 	没看	c=1 d=0.637628 t=1283
mei kan le 	没看了	c=1 d=0.644036 t=1283
mei shou duo shao 	没瘦多少	c=1 d=0.470011 t=1283
mei shuo 	没说	c=1 d=0.798516 t=1283
mei tian 	每天	c=0 d=0.0147342 t=1283
mei ting dao 	没听到	c=1 d=0.1764 t=1283
mei you 	没有	c=2 d=0.432228 t=1283
mei you lao po 	没有牢婆	c=1 d=0.332871 t=1283
mei you yun dong 	没有运动	c=1 d=0.511709 t=1283
mei zen me 	没怎么	c=1 d=0.410656 t=1283
men 	们	c=2 d=0.57158 t=1283
meng bi 	懵逼	c=1 d=1 t=1128
meng huan 	梦幻	c=1 d=1 t=859
mi yin 	秘银	c=1 d=1 t=981
mie mie 	咩咩	c=3 d=2.89319 t=674
mo fei si 	墨菲斯	c=0 d=0.01764 t=1283
mo jin 	摸金	c=1 d=1 t=751
mo ren 	默认	c=1 d=0.308819 t=1283
mo shen 	魔神	c=1 d=0.985112 t=1283
mo shi 	模式	c=2 d=1.625 t=844
mu qin 	母亲	c=1 d=1 t=1022
na bu shi 	那不是	c=1 d=1 t=628
na ge 	那个	c=1 d=1 t=921
na jiu hao 	那就好	c=1 d=1 t=761
na li 	哪里	c=1 d=0.810584 t=1283
na li de 	哪里的	c=1 d=1 t=1146
nan 	难	c=1 d=1 t=830
nan yi 	难以	c=0 d=0.1 t=921
nan yi jie huo 	难以解惑	c=1 d=1 t=922
nei cun 	内存	c=2 d=1.92774 t=1241
ni 	你	c=1 d=0.283654 t=1283
ni kan 	你看	c=1 d=0.774916 t=1283
ni men 	你们	c=1 d=0.289384 t=1283
pan 	盘	c=1 d=1 t=1038
pan ding tiao jian 	判定条件	c=1 d=1 t=600
pang pang 	胖胖	c=1 d=0.62231 t=1283
pang pang da yang 	胖胖大羊	c=1 d=0.524663 t=1283
pang pang ju 	胖胖居	c=1 d=0.509156 t=1283
pei zhi 	配置	c=6 d=4.40069 t=1180
pin yin 	拼音	c=0 d=0.0151072 t=1283
pin zhi 	品质	c=1 d=1 t=1116
ping mu 	屏幕	c=1 d=1 t=737
pu tian 	莆田	c=1 d=1 t=1181
pu tian xue yuan 	莆田学院	c=1 d=1 t=1215
qi bu 	起步	c=1 d=1 t=1232
qi chuang 	起床	c=1 d=1 t=1079
qi dong 	启动	c=1 d=1 t=654
qi shi 	其实	c=2 d=1.39209 t=1283
qi yi guo 	奇异果	c=2 d=1.99501 t=810
qian 	钱	c=0 d=0.0362402 t=1283
qie huan 	切换	c=2 d=0.559932 t=1283
qing hua 	清华	c=1 d=1 t=1148
qu kan kan 	去看看	c=1 d=0.606531 t=1283
qu xiao 	取消	c=2 d=1.92774 t=932
que shi 	确实	c=1 d=1 t=585
qun zhong 	群众	c=1 d=1 t=1030
ran hou 	然后	c=2 d=1.97045 t=930
rang 	让	c=3 d=1.95043 t=777
rang wo kang kang 	让我康康	c=1 d=1 t=993
ri 	日	c=1 d=1 t=740
ri qi 	日期	c=2 d=1.95123 t=601
ru he 	如何	c=4 d=0.488141 t=1283
san jiao zhou 	三角洲	c=2 d=1.99501 t=1183
sen 	森	c=2 d=1.90484 t=1109
sha diao 	沙掉	c=1 d=0.489192 t=1283
shan chu 	删除	c=0 d=0.0315058 t=1283
shang chuang 	上床	c=1 d=1 t=1001
shang ci 	上次	c=1 d=0.647265 t=1283
shang xin 	伤心	c=0 d=0.0336216 t=1283
shang xin la 	伤心啦	c=1 d=0.337902 t=1283
she zhi 	设置	c=4 d=2.94983 t=1066
shen me 	什么	c=36 d=5.6304 t=1283
shen me chi 	什么吃	c=1 d=1 t=853
shen me guai guai 	什么怪怪	c=1 d=1 t=798
shen me guai guai dong xi 	什么怪怪东西	c=1 d=1 t=954
shen me shi 	什么是	c=35 d=4.72769 t=1283
shen me wo shi 	什么我是	c=1 d=1 t=943
shen me yang zi 	什么样子	c=1 d=0.396531 t=1283
shen me yi si 	什么意思	c=13 d=2.44297 t=1283
shen se 	深色	c=1 d=1 t=843
shen yin wang zuo 	神印王座	c=20 d=2.51354 t=1283
sheng cheng 	生成	c=1 d=1 t=533
sheng ji 	升级	c=1 d=1 t=1136
sheng ri 	生日	c=1 d=0.97531 t=1283
sheng wei 	圣卫	c=1 d=1 t=978
shi 	使	c=1 d=1 t=506
shi 	市	c=0 d=0.1 t=1010
shi 	是	c=37 d=4.72522 t=1283
shi bu shi 	是不是	c=1 d=0.232236 t=1283
shi guai guai dong xi 	是怪怪东西	c=2 d=1.89583 t=823
shi guai guai mao 	是怪怪猫	c=1 d=0.506617 t=1283
shi hou 	时候	c=2 d=1.11304 t=1059
shi jian 	时间	c=4 d=3.55695 t=644
shi ke 	时刻	c=3 d=0.472644 t=1283
shi lian 	失联	c=0 d=0.1 t=415
shi lian ju 	失联居	c=1 d=1 t=416
shi shen me 	是什么	c=1 d=0.343533 t=1283
shi shen me guai guai mao 	是什么怪怪猫	c=1 d=0.449329 t=1283
